userId,movieId,rating
1,2336,5.0
2,237,5.0
10,7438,4.5
15,47610,4.5
18,910,5.0
23,143385,5.0
27,7438,4.5
28,475,5.0
28,910,5.0
28,1243,5.0
28,1276,5.0
28,3836,5.0
28,3983,5.0
28,4878,5.0
28,5617,5.0
28,5817,4.5
28,99114,4.5
33,4878,5.0
33,7438,4.5
35,1243,5.0
35,4878,5.0
35,122918,4.5
39,711,5.0
40,475,5.0
44,99114,5.0
46,4878,5.0
50,1276,4.5
56,3983,4.5
56,5617,4.5
58,99114,4.5
62,1339,5.0
64,4878,4.5
65,2336,4.5
66,67734,5.0
67,7438,5.0
68,7438,5.0
69,53000,5.0
70,7647,5.0
76,122918,4.5
80,4878,4.5
80,47610,5.0
83,2064,5.0
84,2336,5.0
86,1276,5.0
93,910,5.0
94,1243,5.0
94,4878,5.0
94,5617,5.0
96,45,5.0
100,99114,5.0
103,4878,5.0
109,1339,4.5
109,5617,5.0
112,7438,5.0
113,4878,5.0
114,4878,4.5
114,47610,4.5
115,3256,5.0
116,4878,4.5
118,47610,4.5
119,2064,5.0
120,4878,5.0
120,99114,4.5
120,122918,4.5
126,47610,5.0
131,4878,5.0
137,910,5.0
137,3489,5.0
137,58490,5.0
138,4878,4.5
138,7438,4.5
138,7647,5.0
140,99114,4.5
140,122918,5.0
141,128360,4.5
144,4878,4.5
144,7438,4.5
144,99114,4.5
151,4878,5.0
151,5785,4.5
151,7438,5.0
151,99114,5.0
152,7438,5.0
156,99114,4.5
157,3489,5.0
157,143385,4.5
158,1276,5.0
161,475,5.0
163,7438,5.0
163,99114,5.0
163,128360,4.5
171,122918,5.0
173,1243,5.0
175,7438,5.0
175,99114,4.5
181,7438,5.0
182,99114,4.5
183,47610,5.0
183,99114,4.5
188,1243,4.5
188,1276,5.0
188,3108,4.5
188,3489,5.0
188,4878,4.5
188,5617,5.0
188,7438,5.0
188,8949,4.5
188,53000,5.0
190,4878,5.0
194,45517,5.0
194,99114,5.0
196,47610,5.0
196,143385,4.5
197,122918,4.5
203,4878,4.5
204,4878,5.0
204,7438,5.0
204,99114,4.5
206,45517,5.0
206,122918,5.0
212,4878,4.5
213,5617,4.5
213,68874,4.5
216,99114,5.0
216,128360,5.0
218,7438,5.0
219,4878,5.0
220,4878,5.0
220,143385,4.5
225,128360,4.5
228,4878,5.0
228,143385,4.5
231,33819,5.0
232,4878,5.0
232,7438,4.5
235,99114,4.5
239,1248,5.0
239,3108,5.0
239,4467,4.5
240,7438,5.0
240,128360,4.5
242,4878,5.0
242,8915,5.0
245,910,4.5
245,7438,4.5
245,128360,4.5
247,7438,5.0
248,4878,4.5
248,7438,5.0
253,4878,5.0
258,7438,5.0
258,128360,5.0
265,3652,5.0
265,4878,5.0
265,5785,5.0
265,7438,4.5
265,93838,5.0
265,99114,5.0
265,101971,5.0
265,128360,5.0
265,130044,5.0
265,144976,5.0
265,213604,5.0
265,218537,5.0
270,4878,5.0
277,1243,4.5
278,910,5.0
278,1276,5.0
279,1276,5.0
280,4878,4.5
283,118,5.0
287,3489,5.0
287,69069,5.0
287,122918,5.0
287,170957,5.0
291,122918,4.5
298,7438,4.5
299,1243,5.0
299,3256,5.0
302,99114,5.0
303,122918,5.0
311,4878,4.5
311,77307,4.5
313,99114,4.5
317,910,5.0
317,1276,5.0
317,4878,4.5
318,910,4.5
318,4878,5.0
318,7438,5.0
320,1276,5.0
322,2819,5.0
327,62434,4.5
328,67734,5.0
328,99114,5.0
328,106540,4.5
328,122918,5.0
328,128360,5.0
337,4878,5.0
338,475,5.0
338,1735,5.0
338,3108,5.0
339,4878,5.0
339,128360,5.0
341,4903,4.5
343,1735,5.0
346,910,5.0
346,1276,5.0
346,4878,5.0
346,8949,4.5
348,4467,4.5
348,58490,4.5
352,4878,4.5
352,7438,4.5
352,99114,4.5
354,910,5.0
354,3983,5.0
354,8949,4.5
354,47610,4.5
355,910,4.5
358,143385,5.0
360,7981,5.0
360,99114,5.0
360,128360,5.0
365,1248,5.0
365,4903,5.0
367,1276,4.5
369,45,5.0
372,910,5.0
372,1276,5.0
373,1276,5.0
373,3256,5.0
374,7438,4.5
378,1914,5.0
378,2064,5.0
379,1243,5.0
379,3108,5.0
380,2336,5.0
387,122918,4.5
389,7438,5.0
390,342,4.5
390,781,4.5
390,2064,4.5
390,8949,5.0
395,1339,4.5
395,3489,4.5
395,4878,5.0
396,99114,5.0
396,122918,5.0
397,475,5.0
398,53000,4.5
401,1248,5.0
401,1276,4.5
401,33288,4.5
402,4878,5.0
402,7438,4.5
408,47610,5.0
411,4878,4.5
411,7438,4.5
412,342,5.0
417,26398,4.5
421,4467,4.5
421,5617,4.5
424,475,5.0
424,1339,5.0
424,1735,5.0
424,3489,4.5
424,6880,4.5
424,7438,4.5
424,47610,4.5
425,1243,4.5
425,4878,4.5
430,3108,4.5
430,4878,5.0
430,5047,4.5
431,475,4.5
432,99114,5.0
438,2600,5.0
438,3489,5.0
438,7438,5.0
438,99114,5.0
438,128360,5.0
441,7438,4.5
450,7438,4.5
454,4878,4.5
454,7438,4.5
454,27604,5.0
457,4878,4.5
457,99114,4.5
457,112897,4.5
457,122918,4.5
459,122918,5.0
460,4878,4.5
460,7438,4.5
461,2722,5.0
466,99114,5.0
466,128360,4.5
470,3019,5.0
470,3983,5.0
479,1019,5.0
479,1276,5.0
479,7438,4.5
479,51007,4.5
480,99114,5.0
487,122918,4.5
495,1735,5.0
495,7438,5.0
495,45517,4.5
496,122918,5.0
501,910,5.0
501,1276,5.0
503,53000,5.0
503,99114,5.0
503,128360,5.0
503,144976,5.0
503,277028,4.5
504,45,5.0
504,910,5.0
504,1243,5.0
504,3108,5.0
505,4878,5.0
505,5785,5.0
505,99114,5.0
505,122918,5.0
506,4878,5.0
508,1276,5.0
509,910,4.5
509,4878,5.0
510,152,5.0
511,2336,5.0
511,3927,5.0
511,3983,5.0
516,7438,5.0
516,99114,4.5
516,128360,4.5
521,99114,4.5
522,99114,4.5
524,99114,4.5
524,122918,5.0
525,4878,4.5
525,8949,5.0
527,1243,5.0
527,1276,5.0
527,2336,5.0
527,3019,5.0
527,3256,5.0
527,3836,5.0
527,4467,5.0
527,4903,5.0
527,5561,5.0
530,7438,4.5
531,47610,4.5
531,99114,5.0
533,475,5.0
535,71264,4.5
536,4878,4.5
537,122918,5.0
538,47610,4.5
540,1019,5.0
542,1248,4.5
542,4878,5.0
544,3983,5.0
545,910,5.0
545,1019,5.0
546,5617,5.0
546,47610,4.5
547,122918,4.5
547,128360,4.5
548,99114,5.0
551,4878,4.5
551,7438,4.5
552,2600,5.0
552,62434,4.5
560,4878,5.0
560,47610,5.0
560,99114,5.0
560,122918,4.5
561,47610,5.0
564,4878,4.5
564,7438,4.5
564,99114,5.0
565,475,5.0
565,7438,5.0
572,99114,5.0
573,99114,5.0
577,4878,4.5
577,99114,4.5
579,2819,5.0
583,7438,4.5
587,475,4.5
587,6433,4.5
587,25771,4.5
587,77307,4.5
588,342,4.5
588,4878,4.5
599,122918,5.0
600,910,5.0
600,2336,4.5
606,4878,4.5
606,99114,4.5
609,2064,5.0
614,2600,4.5
614,4878,5.0
614,72167,4.5
614,99114,4.5
616,910,4.5
616,7981,5.0
627,781,5.0
627,1243,5.0
627,1276,5.0
627,2336,5.0
627,8949,4.5
632,910,5.0
634,475,5.0
634,1248,5.0
634,2064,5.0
634,4878,5.0
634,88746,4.5
634,99114,4.5
644,99114,5.0
648,7438,4.5
651,47610,4.5
655,8949,4.5
663,99114,5.0
666,3019,4.5
666,4878,5.0
666,5680,4.5
666,7438,4.5
668,3256,5.0
672,99114,4.5
673,1450,4.5
673,3108,4.5
677,53000,5.0
679,47610,5.0
679,99114,5.0
683,1184,5.0
685,47610,4.5
687,910,5.0
687,2336,4.5
699,1184,5.0
699,1276,5.0
701,1243,5.0
702,5963,4.5
702,6433,4.5
705,2819,5.0
711,1339,4.5
711,3019,4.5
711,3264,4.5
711,4787,5.0
711,68536,4.5
712,47610,4.5
723,1914,5.0
729,4878,4.5
730,7438,5.0
733,910,5.0
733,1276,5.0
736,7438,4.5
737,4878,4.5
737,7438,4.5
738,4878,4.5
741,2722,5.0
743,2722,5.0
745,99114,5.0
749,910,5.0
749,2819,4.5
757,3836,4.5
759,342,5.0
762,99114,4.5
768,3019,5.0
776,8949,4.5
776,67734,4.5
777,99114,4.5
778,910,5.0
780,475,5.0
780,910,5.0
780,2336,5.0
784,7438,4.5
784,99114,5.0
784,122918,4.5
784,204542,4.5
784,255337,5.0
784,282125,5.0
785,237,5.0
790,4878,5.0
791,7438,5.0
791,99114,5.0
794,910,4.5
794,7438,4.5
807,71264,4.5
807,122918,4.5
810,1019,4.5
810,1276,5.0
810,2819,5.0
810,3836,5.0
810,4467,4.5
810,6854,5.0
811,342,5.0
811,2064,5.0
814,3836,5.0
815,2600,4.5
815,4878,5.0
815,5617,5.0
815,7438,5.0
820,2722,5.0
820,7438,5.0
820,99114,5.0
825,99114,4.5
828,1276,5.0
833,1339,4.5
834,99114,5.0
836,910,5.0
838,2553,5.0
838,3983,5.0
838,5287,5.0
838,8923,4.5
839,1276,5.0
841,1243,5.0
847,4878,5.0
847,7438,5.0
847,99114,5.0
847,128360,4.5
848,7438,5.0
849,1243,4.5
849,166777,5.0
852,7438,5.0
854,388,5.0
854,1339,5.0
854,3108,5.0
855,208293,5.0
856,5617,5.0
857,781,5.0
863,1248,5.0
863,4878,5.0
863,7438,4.5
863,25771,4.5
863,77307,5.0
864,1276,4.5
864,4878,4.5
864,7438,4.5
865,475,5.0
865,910,5.0
865,1276,5.0
866,3108,5.0
867,99114,4.5
868,2819,5.0
869,4878,4.5
875,99114,4.5
875,122918,4.5
875,128360,4.5
881,1276,4.5
881,4878,4.5
881,7438,5.0
883,3836,5.0
884,1339,4.5
884,4467,4.5
884,5617,4.5
884,7438,4.5
884,231701,4.5
886,910,4.5
886,7438,5.0
887,2064,4.5
887,99114,4.5
892,3256,4.5
893,4878,4.5
893,7438,5.0
893,67734,4.5
903,8949,4.5
904,7438,4.5
904,99114,4.5
905,475,4.5
905,910,5.0
905,4878,5.0
905,5617,4.5
905,7438,5.0
905,53000,5.0
909,7981,5.0
909,77307,4.5
919,128360,4.5
921,2336,5.0
921,5617,5.0
921,7438,5.0
921,47610,5.0
922,4878,4.5
925,99114,5.0
929,47610,4.5
930,2315,5.0
930,4878,5.0
930,7438,5.0
933,2064,5.0
933,3019,5.0
934,3836,4.5
935,122918,4.5
937,7438,4.5
938,4878,4.5
938,99114,5.0
951,3256,5.0
951,4878,5.0
951,7438,5.0
951,47610,5.0
951,99114,5.0
951,128360,5.0
952,2553,5.0
953,2336,5.0
955,4878,5.0
956,99114,5.0
956,99530,5.0
956,122918,5.0
959,5047,4.5
960,50445,5.0
961,7438,5.0
962,3256,4.5
962,93838,4.5
962,99114,4.5
963,99114,4.5
974,910,5.0
976,7438,5.0
977,4878,5.0
978,3108,4.5
981,2336,5.0
982,475,4.5
982,2064,4.5
982,3983,5.0
982,4903,4.5
982,7438,4.5
982,8949,5.0
983,7438,5.0
988,77307,4.5
989,6705,5.0
999,4878,5.0
999,53000,5.0
1015,3019,4.5
1015,4878,4.5
1015,7981,4.5
1015,8949,5.0
1016,4903,4.5
1019,4878,5.0
1019,7438,4.5
1021,45517,4.5
1021,99114,5.0
1024,7438,5.0
1024,45517,4.5
1024,47610,4.5
1024,71264,4.5
1024,99114,5.0
1024,122918,5.0
1024,128360,5.0
1025,963,4.5
1025,1339,4.5
1025,2336,5.0
1025,3489,4.5
1025,7826,5.0
1025,7981,4.5
1028,1276,5.0
1028,4878,4.5
1029,99114,5.0
1031,7438,5.0
1036,99114,4.5
1036,122918,4.5
1038,45517,4.5
1041,45517,4.5
1042,99114,5.0
1044,3263,5.0
1046,4878,4.5
1046,7438,4.5
1046,99114,4.5
1048,475,4.5
1048,1339,5.0
1048,6433,5.0
1048,128360,4.5
1050,1735,4.5
1050,99114,4.5
1050,128360,4.5
1051,99114,4.5
1052,4878,5.0
1052,47610,4.5
1053,1339,5.0
1053,3108,4.5
1053,4467,4.5
1053,25771,4.5
1057,1339,4.5
1057,6433,5.0
1064,3927,5.0
1069,475,4.5
1069,7981,5.0
1072,1276,5.0
1072,2064,5.0
1072,3983,5.0
1075,910,5.0
1075,2600,5.0
1086,99114,4.5
1087,475,4.5
1089,4440,4.5
1089,224655,4.5
1095,99114,5.0
1095,122918,5.0
1097,342,5.0
1101,99114,5.0
1102,4878,5.0
1103,1248,4.5
1103,4878,5.0
1103,4903,4.5
1103,7438,5.0
1106,99114,4.5
1108,2064,4.5
1111,122918,5.0
1112,2064,5.0
1113,3108,5.0
1114,1019,5.0
1114,2819,5.0
1114,3256,5.0
1117,2064,5.0
1119,7438,4.5
1125,33288,5.0
1127,475,5.0
1133,711,5.0
1134,4878,4.5
