userId,movieId,tag,timestamp
109,5617,BDSM,1258062915
109,5617,black comedy,1258062870
109,5617,erotic,1258062868
109,5617,James Spader,1258062863
109,5617,Maggie Gyllenhaal,1258062866
109,5617,relationships,1258062903
109,5617,secretary,1258062910
109,5617,sexuality,1258062906
109,60948,Alan Rickman,1257989050
109,60948,Bill Pullman,1257989058
109,60948,wine,1257989053
109,67734,bordering on girly,1258081661
109,67734,funny,1258081681
109,67734,Jesse Eisenberg,1258081673
109,67734,Kristen Stewart,1258081669
109,67734,nihilism,1258081678
109,67734,Ryan Reynolds,1258081671
245,77307,cat killing,1529139622
245,77307,disturbing,1529139617
245,77307,oppression,1529139686
245,128360,Dialogue,1458746104
245,128360,humor,1458746107
245,128360,Quentin Tarantino,1458746095
245,128360,Samuel L. Jackson,1458746114
245,128360,tension building,1458746105
245,143237,equality,1461620255
245,143237,gay,1461620241
374,7438,from Tarantino,1186682632
374,7438,masterpiece,1186682632
457,4878,mental illness,1412444541
457,4878,psychology,1412444535
457,4878,thought-provoking,1412444537
457,4878,twist ending,1412444556
478,1248,atmospheric,1680520407
478,1248,Criterion,1680520403
478,1248,film noir,1680520401
478,1248,noir thriller,1680520398
478,2753,Erotic Thriller,1680960887
478,2753,hitchcockian,1680960869
478,2753,neo-noir,1680960876
478,5680,pornography,1685322368
478,5680,seedy,1685322373
478,5680,sex,1685322382
478,5680,sexuality,1685322387
478,25771,dreamlike,1679791454
478,25771,dreams,1679791439
478,25771,experimental,1679791435
478,25771,short,1679791449
478,25771,short film,1679791445
478,25771,surreal,1679791431
478,25771,surrealism,1679791433
651,47610,Illusionism,1425010905
651,47610,magic,1425010872
651,47610,stage magic,1425010875
741,2722,hilarious,1151687462
846,93838,brutal,1369109937
848,3489,Robin Williams,1541827594
849,1243,absurd,1613444456
849,1243,metafiction,1613444464
849,1243,smart comedy,1613444460
849,1243,surreal,1613444458
849,166777,greasy,1613444538
849,166777,Jim Hosking,1613444606
909,4878,surreal,1248031555
909,5047,comedy,1248030773
909,5047,digital editing,1248054937
909,5047,hilarious spoof,1248054769
909,5047,parody,1248030770
909,5047,ridiculous,1248054810
909,5047,Steve Oedekerk,1248054764
909,5047,synchronic,1248054794
909,7438,revenge,1248031479
909,7981,better than the american version,1248042571
909,7981,characters,1248032790
909,7981,dialogue,1248032790
909,7981,music,1248032790
909,7981,story,1248032790
909,128360,Dialogue,1529949800
909,128360,Kurt Russell,1529949820
909,128360,Quentin Tarantino,1529949794
909,128360,tension building,1529949802
909,128360,too long,1529949807
991,910,classic,1618818940
991,910,delightful,1618818936
1069,2600,cronenberg,1247885165
1069,2600,Sci-Fi,1247885121
1069,2600,surreal,1247885164
1069,2722,predictable,1247882124
1069,2722,shark,1247882057
1069,7438,boring,1247908060
1069,7438,Contrived.,1247908080
1069,7438,slow,1247908060
1069,7438,too long,1247908060
1069,7845,B-movie,1247880990
1069,7845,cult film,1247880990
1069,7845,sequel,1247880990
1069,62434,Kevin Smith,1247879446
1225,4878,atmospheric,1424031083
1225,4878,emotional,1424031122
1225,4878,hallucinatory,1424031123
1225,4878,learn to appreciate,1424031122
1225,4878,mystery,1424031123
1225,4878,positive,1424031168
1225,4878,thought-provoking,1424031078
1225,4878,time travel,1424031073
1294,77307,disturbing,1478986499
1294,77307,Nudity (Full Frontal),1478986513
1411,342,Australia,1365973078
1411,342,comedy,1365973093
1411,342,overrated,1365973073
1411,342,quirky,1365973195
1411,342,sexuality,1365973214
1411,342,weddings,1365973163
1411,86922,Comedy,1356204919
1523,99114,Quentin Tarantino,1400945229
1523,99114,Samuel L. Jackson,1400945219
1523,99114,too long,1400945990
1523,99114,western,1400945259
1551,1248,film noir,1526741736
1551,2600,virtual reality,1526048041
1551,7826,daydreaming,1608158253
1551,7981,better than the american version,1586462977
1551,26083,kitchen sink realism,1526799555
1551,33288,kitchen sink realism,1526799572
1551,40738,flashbacks,1604773759
1551,69856,1920s,1608840672
1551,69856,art deco,1608840117
1551,69856,based on a play,1608840140
1551,69856,theatrical,1608840130
1551,69856,visually appealing,1608840125
1551,77307,Greek Weird Wave,1547323576
1551,96985,czech new wave,1689097347
1551,128360,ensemble cast,1527281447
1551,143385,cold war,1586118781
1551,143385,espionage,1586118798
1551,197571,Greek Weird Wave,1547323716
1551,217831,talky,1592580429
1551,243530,ensemble cast,1616009693
1551,243530,feminism,1616009613
1551,243530,feminist,1616009621
1551,243530,short film,1616009631
1657,7438,action,1356820200
1688,135759,jo in-sung,1652844999
1688,135759,Nudity (Topless),1652845013
1688,160892,Hong Sang-soo,1652844856
1688,160892,kim min-hee,1652844849
1780,3263,basketball,1689988437
1780,3263,comedy,1689988441
1780,3263,sport:basketball,1689988450
1780,3263,sports,1689988439
1780,3263,Wesley Snipes,1689988445
1780,3263,Woody Harrelson,1689988443
1806,218537,comedy,1620053668
1806,218537,feel-good,1594477411
1806,218537,happy,1594477403
1806,218537,life,1594477397
1806,218537,paradox,1594477379
1806,218537,romance,1594477383
1806,218537,time loop,1594477372
1806,218537,time travel,1594477366
1806,218537,true love,1594477386
1900,4878,alternate timeline,1560247152
1900,4878,atmospheric,1560247170
1900,4878,cerebral,1560247213
1900,4878,cult classic,1560247206
1900,4878,cult film,1560247167
1900,4878,dark,1560247224
1900,4878,dreamlike,1560247174
1900,4878,enigmatic,1560247221
1900,4878,great soundtrack,1560247211
1900,4878,hallucinatory,1560247157
1900,4878,mental illness,1560247141
1900,4878,mindfuck,1560247146
1900,4878,original,1560247172
1900,4878,philosophy,1560247168
1900,4878,psychological,1560247163
1900,4878,quirky,1560247218
1900,4878,satirical,1560247161
1900,4878,social commentary,1560247154
1900,4878,stylized,1560247164
1900,4878,surreal,1560247178
1900,4878,thought-provoking,1560247176
1900,4878,time travel,1560247138
1900,4878,twist ending,1560247144
1900,4878,weird,1560247149
2008,4878,complicated,1437685697
2008,4878,dreamlike,1437685657
2008,4878,mindfuck,1437685686
2008,4878,original,1437685674
2008,4878,stylized,1437685689
2008,4878,surreal,1437685652
2008,4878,thought-provoking,1437685655
2008,4878,twist ending,1437685681
2008,4878,weird,1437685665
2008,47610,great ending,1437685749
2008,47610,happy ending,1437685738
2008,47610,love story,1437685735
2074,93838,minimal plot,1505720000
2074,93838,thin plot,1505719989
2244,7438,confusing parody,1339975953
2244,93838,awesome,1345990314
2244,93838,martial arts,1346000987
2244,93838,silat,1346000989
2244,94266,depressing,1345990151
2244,94266,not funny,1346000760
2244,94266,too long,1345990136
2327,4878,alternate timeline,1573775588
2327,4878,confusing,1573775596
2327,4878,cult film,1573775623
2327,4878,dreamlike,1573775625
2327,4878,Jake Gyllenhaal,1573775616
2327,4878,mindfuck,1573775583
2327,4878,mystery,1573775617
2327,4878,surreal,1573775580
2327,4878,thought-provoking,1573775628
2327,4878,twist ending,1573775585
2327,4878,weird,1573775620
2327,7845,Burt Gummer,1605998238
2327,7845,Michael Gross,1605998360
2327,7845,Tremors series,1605997952
2327,88572,forced comedy,1631657523
2327,88572,Influencer,1631657509
2327,88572,moronic,1631657563
2327,88572,over the top,1631657531
2327,88572,overacting,1631657622
2327,88572,retarded,1631657541
2327,88572,YouTuber,1631657501
2421,64278,psychoanalysis,1241250870
2421,64278,Zizek,1241250875
2482,143385,Coen Brothers,1543630071
2482,143385,Tom Hanks,1543630060
2499,910,Tumey's VHS,1200950023
2499,1248,Tumey's DVDs,1200227937
2499,1276,Tumey's DVDs,1204827856
2499,3108,Tumey's DVDs,1191513736
2499,3836,Tumey's DVDs,1181995683
